35	41	78
42	60	29
10	59	86
33	8	14
92	50	73
69	47	81
28	26	98
24	75	66
84	70	79
15	55	60
61	94	68
72	58	10
83	88	88
38	22	44
47	18	91
53	61	45
93	19	88
16	45	99
59	32	85
9	79	21
8	35	27
46	73	57
63	40	8
17	99	50
71	93	24
95	90	23
14	96	12
75	20	11
55	9	25
29	77	15
100	83	83
52	78	80
57	28	51
7	17	18
18	66	5
67	71	43
81	24	64
20	80	37
54	98	84
79	3	46
1	13	53
31	86	56
91	54	54
45	44	17
37	49	100
51	15	65
90	64	40
86	69	22
64	65	89
34	27	20
4	76	90
22	42	67
49	21	16
44	56	76
48	85	30
5	51	41
99	34	6
70	37	97
89	81	48
12	2	96
26	43	32
98	74	64
60	82	13
13	92	77
3	95	34
97	14	58
19	16	35
74	46	47
41	62	9
23	36	7
6	29	63
43	1	36
25	12	61
65	72	28
62	67	72
36	84	75
96	4	39
2	30	93
80	87	69
32	7	87
77	10	74
39	89	94
58	91	49
66	23	71
30	100	70
68	11	95
40	6	55
78	25	41
82	5	26
11	48	17
56	52	62
27	63	82
85	39	19
21	33	52
87	97	38
88	57	92
76	68	59
94	38	42
50	31	31
73	53	33
